日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2011/10/31 17:00:00	1.32160	1.33240	1.31162	1.31600	1.32150	1.33229	1.31147	1.31593
2011/10/28 17:00:00	1.32270	1.32980	1.32037	1.32160	1.32221	1.32967	1.32024	1.32150
2011/10/27 17:00:00	1.33753	1.33918	1.31821	1.32270	1.33679	1.33902	1.31805	1.32221
2011/10/26 17:00:00	1.33396	1.34702	1.33290	1.33753	1.33326	1.34688	1.33265	1.33679
2011/10/25 17:00:00	1.33003	1.33446	1.32709	1.33396	1.32970	1.33432	1.32694	1.33326
2011/10/24 17:00:00	1.34148	1.34356	1.32826	1.33003	1.34130	1.34332	1.32812	1.32970
2011/10/21 17:00:00	1.34770	1.34989	1.33953	1.34148	1.34630	1.34974	1.33938	1.34130
2011/10/20 17:00:00	1.34610	1.34921	1.33900	1.34770	1.34555	1.34911	1.33870	1.34630
2011/10/19 17:00:00	1.34020	1.34648	1.33699	1.34610	1.33950	1.34632	1.33685	1.34555
2011/10/18 17:00:00	1.35290	1.35445	1.33729	1.34020	1.35220	1.35432	1.33697	1.33950
2011/10/17 17:00:00	1.34197	1.35319	1.33940	1.35290	1.34204	1.35300	1.33927	1.35220
2011/10/14 17:00:00	1.35210	1.35401	1.34164	1.34197	1.35160	1.35362	1.34146	1.34204
2011/10/13 17:00:00	1.35786	1.36125	1.34651	1.35210	1.35740	1.36076	1.34622	1.35160
2011/10/12 17:00:00	1.37068	1.37786	1.35306	1.35786	1.37019	1.37758	1.35292	1.35740
2011/10/11 17:00:00	1.36660	1.37370	1.36326	1.37068	1.36550	1.37350	1.36280	1.37019
2011/10/10 17:00:00	1.36865	1.37452	1.36422	1.36660	1.36835	1.37378	1.36381	1.36550
2011/10/07 17:00:00	1.37920	1.38060	1.36484	1.36865	1.37830	1.38032	1.36462	1.36835
2011/10/06 17:00:00	1.38220	1.38609	1.36631	1.37920	1.38180	1.38588	1.36518	1.37830
2011/10/05 17:00:00	1.39500	1.39802	1.38139	1.38220	1.39400	1.39787	1.38093	1.38180
2011/10/04 17:00:00	1.38351	1.40893	1.38252	1.39500	1.38237	1.40874	1.38220	1.39400
2011/10/03 17:00:00	1.38388	1.38849	1.37554	1.38351	1.38357	1.38829	1.37543	1.38237
2011/09/30 17:00:00	1.39040	1.39233	1.37806	1.38388	1.38960	1.39215	1.37792	1.38357
2011/09/29 17:00:00	1.38480	1.39670	1.38084	1.39040	1.38431	1.39659	1.38069	1.38960
2011/09/28 17:00:00	1.37020	1.38696	1.37014	1.38480	1.36970	1.38669	1.36970	1.38431
2011/09/27 17:00:00	1.37651	1.37953	1.36476	1.37020	1.37612	1.37937	1.36460	1.36970
2011/09/26 17:00:00	1.38312	1.39057	1.37175	1.37651	1.38255	1.39037	1.37159	1.37612
2011/09/23 17:00:00	1.38230	1.38863	1.37220	1.38312	1.38150	1.38841	1.37195	1.38255
2011/09/22 17:00:00	1.35180	1.38692	1.34803	1.38230	1.35130	1.38678	1.34786	1.38150
2011/09/21 17:00:00	1.33350	1.35305	1.33056	1.35180	1.33280	1.35286	1.33038	1.35130
2011/09/20 17:00:00	1.33890	1.34103	1.32849	1.33350	1.33820	1.34057	1.32834	1.33280
2011/09/19 17:00:00	1.33100	1.34310	1.32658	1.33890	1.32934	1.34298	1.32600	1.33820
2011/09/16 17:00:00	1.34380	1.34526	1.32710	1.33100	1.34319	1.34502	1.32695	1.32934
2011/09/15 17:00:00	1.33790	1.34840	1.33596	1.34380	1.33641	1.34803	1.33578	1.34319
2011/09/14 17:00:00	1.32660	1.34364	1.32093	1.33790	1.32620	1.34351	1.32074	1.33641
2011/09/13 17:00:00	1.32250	1.33045	1.31812	1.32660	1.32170	1.33034	1.31793	1.32620
2011/09/12 17:00:00	1.30722	1.32367	1.29942	1.32250	1.30701	1.32350	1.29875	1.32170
2011/09/09 17:00:00	1.31290	1.31461	1.30400	1.30722	1.31240	1.31446	1.30382	1.30701
2011/09/08 17:00:00	1.32250	1.32998	1.30988	1.31290	1.32220	1.32984	1.30970	1.31240
2011/09/07 17:00:00	1.33538	1.33585	1.32066	1.32250	1.33499	1.33556	1.32052	1.32220
2011/09/06 17:00:00	1.33643	1.34838	1.32947	1.33538	1.33571	1.34704	1.32935	1.33499
2011/09/05 17:00:00	1.33199	1.33925	1.33199	1.33643	1.33174	1.33921	1.33174	1.33571
2011/09/02 17:00:00	1.33020	1.33631	1.32910	1.33199	1.32970	1.33585	1.32869	1.33174
2011/09/01 17:00:00	1.34290	1.34750	1.32633	1.33020	1.34190	1.34718	1.32620	1.32970
2011/08/31 17:00:00	1.35220	1.35590	1.34220	1.34290	1.35150	1.35549	1.34170	1.34190
2011/08/30 17:00:00	1.36270	1.36289	1.34800	1.35220	1.36110	1.36191	1.34785	1.35150
2011/08/29 17:00:00	1.37054	1.37198	1.36137	1.36270	1.37023	1.37159	1.36090	1.36110
2011/08/26 17:00:00	1.37869	1.37971	1.36108	1.37054	1.37823	1.37939	1.36095	1.37023
2011/08/25 17:00:00	1.37638	1.38295	1.37191	1.37869	1.37606	1.38280	1.37178	1.37823
