日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/16 03:30:00	3.49850	3.50418	3.49756	3.50285	3.49730	3.50287	3.49657	3.50239
2016/12/16 03:15:00	3.50079	3.50304	3.49589	3.49850	3.50020	3.50177	3.49541	3.49730
2016/12/16 03:00:00	3.50411	3.50618	3.50019	3.50079	3.50322	3.50454	3.49928	3.50020
2016/12/16 02:45:00	3.51097	3.51255	3.50063	3.50411	3.50871	3.51091	3.49958	3.50322
2016/12/16 02:30:00	3.51382	3.51764	3.51016	3.51097	3.51205	3.51644	3.50716	3.50871
2016/12/16 02:15:00	3.50985	3.51590	3.50985	3.51382	3.50865	3.51460	3.50782	3.51205
2016/12/16 02:00:00	3.50948	3.51438	3.50493	3.50985	3.50908	3.51315	3.50339	3.50865
2016/12/16 01:45:00	3.50774	3.51060	3.50728	3.50948	3.50726	3.50979	3.50673	3.50908
2016/12/16 01:30:00	3.50593	3.50885	3.50540	3.50774	3.50425	3.50802	3.50425	3.50726
2016/12/16 01:15:00	3.50051	3.50765	3.49900	3.50593	3.49931	3.50645	3.49773	3.50425
2016/12/16 01:00:00	3.51000	3.51000	3.50046	3.50051	3.50880	3.50883	3.49860	3.49931
2016/12/16 00:45:00	3.51368	3.51368	3.50953	3.51000	3.51248	3.51248	3.50844	3.50880
2016/12/16 00:30:00	3.51687	3.51767	3.51328	3.51368	3.51434	3.51443	3.51046	3.51248
2016/12/16 00:15:00	3.51737	3.51825	3.51533	3.51687	3.51532	3.51612	3.51416	3.51434
2016/12/16 00:00:00	3.51841	3.51895	3.51731	3.51737	3.51615	3.51775	3.51475	3.51532
2016/12/15 23:45:00	3.51842	3.51845	3.51821	3.51841	3.51612	3.51632	3.51612	3.51615
2016/12/15 23:30:00	3.51848	3.51864	3.51811	3.51842	3.51613	3.51625	3.51592	3.51612
2016/12/15 23:15:00	3.51793	3.51848	3.51762	3.51848	3.51611	3.51614	3.51551	3.51613
2016/12/15 23:00:00	3.51822	3.51823	3.51793	3.51793	3.51615	3.51615	3.51611	3.51611
2016/12/15 22:45:00	3.51822	3.51822	3.51820	3.51822	3.51605	3.51615	3.51547	3.51615
2016/12/15 22:30:00	3.51822	3.51822	3.51822	3.51822	3.51608	3.51615	3.51605	3.51605
2016/12/15 22:15:00	3.51964	3.51964	3.51795	3.51822	3.51716	3.51716	3.51482	3.51608
2016/12/15 21:15:00	3.52125	3.52126	3.51964	3.51964	3.51727	3.51736	3.51704	3.51716
2016/12/15 21:00:00	3.51990	3.52125	3.51990	3.52125	3.51716	3.51727	3.51704	3.51727
2016/12/15 20:15:00	3.52117	3.52130	3.51990	3.51990	3.51726	3.51736	3.51697	3.51716
2016/12/15 20:00:00	3.52124	3.52140	3.52037	3.52117	3.51819	3.51894	3.51691	3.51726
2016/12/15 19:45:00	3.51433	3.52139	3.51359	3.52124	3.51296	3.51841	3.51103	3.51819
2016/12/15 19:30:00	3.51490	3.52092	3.51430	3.51433	3.51370	3.51418	3.51124	3.51296
2016/12/15 19:15:00	3.52097	3.52123	3.51482	3.51490	3.51479	3.51528	3.51351	3.51370
2016/12/15 19:00:00	3.51428	3.52101	3.51423	3.52097	3.50443	3.51514	3.50397	3.51479
2016/12/15 18:45:00	3.51409	3.51435	3.51365	3.51428	3.50492	3.50625	3.50385	3.50443
2016/12/15 18:30:00	3.51408	3.51429	3.51370	3.51409	3.50486	3.50531	3.50439	3.50492
2016/12/15 18:15:00	3.51367	3.51427	3.51344	3.51408	3.50477	3.50509	3.50418	3.50486
2016/12/15 18:00:00	3.51428	3.51428	3.51349	3.51367	3.50445	3.50496	3.50417	3.50477
2016/12/15 17:45:00	3.51472	3.51472	3.51426	3.51428	3.50310	3.50445	3.50310	3.50445
2016/12/15 17:30:00	3.51472	3.51491	3.51472	3.51472	3.50310	3.50310	3.50310	3.50310
2016/12/15 17:15:00	3.51499	3.51499	3.51472	3.51472	3.50297	3.50310	3.50296	3.50310
2016/12/15 17:00:00	3.51420	3.52804	3.51390	3.51499	3.51017	3.51345	3.50297	3.50297
2016/12/15 16:45:00	3.51081	3.51445	3.51081	3.51420	3.50689	3.51197	3.50598	3.51017
2016/12/15 16:30:00	3.51013	3.51278	3.51011	3.51081	3.50638	3.50718	3.50567	3.50689
