日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/01 23:00:00	1.44132	1.44192	1.44036	1.44076	1.44121	1.44180	1.44028	1.44065
2016/12/01 22:45:00	1.44038	1.44132	1.43960	1.44132	1.44030	1.44123	1.43955	1.44121
2016/12/01 22:30:00	1.43987	1.44063	1.43936	1.44038	1.43978	1.44055	1.43929	1.44030
2016/12/01 22:15:00	1.43846	1.43997	1.43846	1.43987	1.43838	1.43989	1.43838	1.43978
2016/12/01 22:00:00	1.43861	1.43864	1.43769	1.43846	1.43847	1.43855	1.43761	1.43838
2016/12/01 21:45:00	1.43885	1.43921	1.43827	1.43861	1.43878	1.43913	1.43817	1.43847
2016/12/01 21:30:00	1.43752	1.43907	1.43721	1.43885	1.43739	1.43898	1.43710	1.43878
2016/12/01 21:15:00	1.43760	1.43846	1.43733	1.43752	1.43750	1.43839	1.43722	1.43739
2016/12/01 21:00:00	1.43839	1.43864	1.43720	1.43760	1.43829	1.43860	1.43713	1.43750
2016/12/01 20:45:00	1.43729	1.43857	1.43717	1.43839	1.43720	1.43857	1.43708	1.43829
2016/12/01 20:30:00	1.43662	1.43734	1.43601	1.43729	1.43649	1.43725	1.43595	1.43720
2016/12/01 20:15:00	1.43668	1.43689	1.43589	1.43662	1.43656	1.43681	1.43583	1.43649
2016/12/01 20:00:00	1.43665	1.43713	1.43620	1.43668	1.43655	1.43704	1.43611	1.43656
2016/12/01 19:45:00	1.43584	1.43677	1.43540	1.43665	1.43574	1.43668	1.43534	1.43655
2016/12/01 19:30:00	1.43719	1.43719	1.43535	1.43584	1.43677	1.43677	1.43525	1.43574
2016/12/01 19:15:00	1.43650	1.43732	1.43590	1.43719	1.43639	1.43708	1.43579	1.43677
2016/12/01 19:00:00	1.43670	1.43697	1.43630	1.43650	1.43655	1.43688	1.43624	1.43639
2016/12/01 18:45:00	1.43704	1.43722	1.43641	1.43670	1.43692	1.43715	1.43634	1.43655
2016/12/01 18:30:00	1.43637	1.43753	1.43635	1.43704	1.43625	1.43743	1.43623	1.43692
2016/12/01 18:15:00	1.43702	1.43712	1.43609	1.43637	1.43681	1.43695	1.43591	1.43625
2016/12/01 18:00:00	1.43761	1.43819	1.43700	1.43702	1.43722	1.43787	1.43679	1.43681
2016/12/01 17:45:00	1.43833	1.43833	1.43719	1.43761	1.43800	1.43800	1.43668	1.43722
