日時	"EUR/CZK(始値, 買い)"	"EUR/CZK(高値, 買い)"	"EUR/CZK(安値, 買い)"	"EUR/CZK(終値, 買い)"	"EUR/CZK(始値, 売り)*"	"EUR/CZK(高値, 売り)*"	"EUR/CZK(安値, 売り)*"	"EUR/CZK(終値, 売り)*"
2016/11/18 05:30:00	27.0527	27.0538	27.0440	27.0443	27.0473	27.0484	27.0386	27.0389
2016/11/18 05:15:00	27.0502	27.0545	27.0499	27.0527	27.0448	27.0494	27.0445	27.0473
2016/11/18 05:00:00	27.0451	27.0505	27.0447	27.0502	27.0397	27.0460	27.0393	27.0448
2016/11/18 04:45:00	27.0475	27.0481	27.0437	27.0451	27.0421	27.0427	27.0383	27.0397
2016/11/18 04:30:00	27.0465	27.0481	27.0439	27.0475	27.0411	27.0427	27.0385	27.0421
2016/11/18 04:15:00	27.0460	27.0479	27.0431	27.0465	27.0406	27.0425	27.0377	27.0411
2016/11/18 04:00:00	27.0380	27.0500	27.0363	27.0460	27.0330	27.0450	27.0310	27.0406
2016/11/18 03:45:00	27.0360	27.0380	27.0328	27.0380	27.0300	27.0330	27.0274	27.0330
2016/11/18 03:30:00	27.0360	27.0381	27.0340	27.0360	27.0320	27.0320	27.0259	27.0300
2016/11/18 03:15:00	27.0350	27.0379	27.0330	27.0360	27.0261	27.0320	27.0261	27.0320
2016/11/18 03:00:00	27.0340	27.0360	27.0320	27.0350	27.0261	27.0280	27.0244	27.0261
2016/11/18 02:45:00	27.0324	27.0357	27.0310	27.0340	27.0250	27.0261	27.0235	27.0261
2016/11/18 02:30:00	27.0300	27.0330	27.0300	27.0324	27.0240	27.0250	27.0235	27.0250
2016/11/18 02:15:00	27.0325	27.0331	27.0300	27.0300	27.0217	27.0250	27.0211	27.0240
2016/11/18 02:00:00	27.0310	27.0332	27.0300	27.0325	27.0240	27.0240	27.0211	27.0217
2016/11/18 01:45:00	27.0300	27.0359	27.0300	27.0310	27.0240	27.0250	27.0187	27.0240
2016/11/18 01:30:00	27.0342	27.0342	27.0300	27.0300	27.0202	27.0240	27.0202	27.0240
2016/11/18 01:15:00	27.0300	27.0346	27.0300	27.0342	27.0240	27.0240	27.0197	27.0202
2016/11/18 01:00:00	27.0330	27.0347	27.0300	27.0300	27.0250	27.0250	27.0197	27.0240
2016/11/18 00:45:00	27.0337	27.0353	27.0300	27.0330	27.0197	27.0270	27.0192	27.0250
2016/11/18 00:30:00	27.0379	27.0379	27.0336	27.0337	27.0181	27.0198	27.0181	27.0197
2016/11/18 00:15:00	27.0337	27.0379	27.0300	27.0379	27.0197	27.0240	27.0181	27.0181
2016/11/18 00:00:00	27.0336	27.0338	27.0335	27.0337	27.0196	27.0198	27.0195	27.0197
2016/11/17 23:45:00	27.0337	27.0337	27.0336	27.0336	27.0197	27.0197	27.0196	27.0196
2016/11/17 23:30:00	27.0337	27.0338	27.0336	27.0337	27.0197	27.0198	27.0196	27.0197
2016/11/17 23:15:00	27.0337	27.0338	27.0336	27.0337	27.0197	27.0198	27.0196	27.0197
2016/11/17 23:00:00	27.0336	27.0338	27.0335	27.0337	27.0196	27.0198	27.0195	27.0197
2016/11/17 22:45:00	27.0336	27.0337	27.0336	27.0336	27.0196	27.0197	27.0196	27.0196
2016/11/17 22:30:00	27.0332	27.0336	27.0300	27.0336	27.0192	27.0240	27.0191	27.0196
2016/11/17 22:15:00	27.0333	27.0333	27.0331	27.0332	27.0193	27.0193	27.0191	27.0192
2016/11/17 22:00:00	27.0332	27.0333	27.0330	27.0333	27.0192	27.0193	27.0190	27.0193
2016/11/17 21:45:00	27.0332	27.0333	27.0331	27.0332	27.0192	27.0193	27.0191	27.0192
2016/11/17 21:30:00	27.0366	27.0366	27.0330	27.0332	27.0157	27.0195	27.0156	27.0192
2016/11/17 21:15:00	27.0367	27.0369	27.0366	27.0366	27.0157	27.0159	27.0156	27.0157
2016/11/17 21:00:00	27.0368	27.0369	27.0300	27.0367	27.0158	27.0240	27.0156	27.0157
2016/11/17 20:45:00	27.0367	27.0368	27.0366	27.0368	27.0157	27.0158	27.0156	27.0158
2016/11/17 20:30:00	27.0300	27.0372	27.0290	27.0367	27.0240	27.0240	27.0156	27.0157
2016/11/17 20:15:00	27.0367	27.0373	27.0280	27.0300	27.0157	27.0250	27.0157	27.0240
2016/11/17 20:00:00	27.0378	27.0379	27.0290	27.0367	27.0168	27.0240	27.0157	27.0157
2016/11/17 19:45:00	27.0377	27.0379	27.0376	27.0378	27.0167	27.0169	27.0166	27.0168
2016/11/17 19:30:00	27.0377	27.0379	27.0300	27.0377	27.0167	27.0250	27.0166	27.0167
2016/11/17 19:15:00	27.0378	27.0379	27.0376	27.0377	27.0168	27.0169	27.0166	27.0167
2016/11/17 19:00:00	27.0377	27.0378	27.0375	27.0378	27.0167	27.0168	27.0165	27.0168
2016/11/17 18:45:00	27.0377	27.0379	27.0377	27.0377	27.0167	27.0169	27.0167	27.0167
2016/11/17 18:30:00	27.0378	27.0378	27.0376	27.0377	27.0168	27.0168	27.0166	27.0167
2016/11/17 18:15:00	27.0300	27.0378	27.0300	27.0378	27.0250	27.0250	27.0166	27.0168
2016/11/17 18:00:00	27.0358	27.0388	27.0300	27.0300	27.0202	27.0250	27.0176	27.0250
2016/11/17 17:45:00	27.0385	27.0388	27.0358	27.0358	27.0177	27.0205	27.0176	27.0202
2016/11/17 17:30:00	27.0359	27.0385	27.0358	27.0385	27.0203	27.0205	27.0177	27.0177
2016/11/17 17:15:00	27.0310	27.0359	27.0310	27.0359	27.0250	27.0250	27.0189	27.0203
2016/11/17 17:00:00	27.0340	27.0394	27.0310	27.0310	27.0240	27.0250	27.0156	27.0250
2016/11/17 16:45:00	27.0346	27.0366	27.0320	27.0340	27.0242	27.0262	27.0225	27.0240
2016/11/17 16:30:00	27.0396	27.0399	27.0341	27.0346	27.0296	27.0310	27.0238	27.0242
2016/11/17 16:15:00	27.0395	27.0397	27.0393	27.0396	27.0295	27.0297	27.0293	27.0296
2016/11/17 16:00:00	27.0380	27.0398	27.0380	27.0395	27.0300	27.0300	27.0293	27.0295
2016/11/17 15:45:00	27.0396	27.0396	27.0380	27.0380	27.0296	27.0310	27.0295	27.0300
