日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/08/31 11:00:00	3.29633	3.29923	3.29602	3.29910	3.29532	3.29860	3.29482	3.29855
2016/08/31 10:45:00	3.29328	3.29721	3.29274	3.29633	3.29237	3.29605	3.29198	3.29532
2016/08/31 10:30:00	3.29693	3.29774	3.29201	3.29328	3.29568	3.29648	3.29118	3.29237
2016/08/31 10:15:00	3.29527	3.29756	3.29486	3.29693	3.29429	3.29639	3.29402	3.29568
2016/08/31 10:00:00	3.29606	3.29728	3.29341	3.29527	3.29428	3.29628	3.29268	3.29429
2016/08/31 09:45:00	3.29805	3.29805	3.29424	3.29606	3.29560	3.29667	3.29321	3.29428
2016/08/31 09:30:00	3.29394	3.29805	3.29357	3.29805	3.29307	3.29560	3.29227	3.29560
2016/08/31 09:15:00	3.29775	3.29821	3.29372	3.29394	3.29655	3.29745	3.29276	3.29307
2016/08/31 09:00:00	3.29883	3.29929	3.29742	3.29775	3.29758	3.29813	3.29638	3.29655
2016/08/31 08:45:00	3.29607	3.30052	3.29582	3.29883	3.29477	3.29938	3.29452	3.29758
2016/08/31 08:30:00	3.29438	3.29916	3.29366	3.29607	3.29280	3.29789	3.29260	3.29477
2016/08/31 08:15:00	3.29568	3.29657	3.29339	3.29438	3.29040	3.29406	3.28970	3.29280
2016/08/31 08:00:00	3.29449	3.29672	3.29358	3.29568	3.29343	3.29449	3.28964	3.29040
2016/08/31 07:45:00	3.29619	3.29635	3.29437	3.29449	3.29517	3.29540	3.29331	3.29343
2016/08/31 07:30:00	3.29612	3.29641	3.29553	3.29619	3.29500	3.29538	3.29450	3.29517
2016/08/31 07:15:00	3.29862	3.29917	3.29542	3.29612	3.29779	3.29803	3.29444	3.29500
2016/08/31 07:00:00	3.29604	3.29971	3.29419	3.29862	3.29480	3.29866	3.29315	3.29779
2016/08/31 06:45:00	3.29664	3.29720	3.29523	3.29604	3.29554	3.29624	3.29426	3.29480
2016/08/31 06:30:00	3.29723	3.29799	3.29521	3.29664	3.29609	3.29700	3.29448	3.29554
2016/08/31 06:15:00	3.29723	3.29774	3.29674	3.29723	3.29604	3.29660	3.29579	3.29609
2016/08/31 06:00:00	3.29571	3.29723	3.29505	3.29723	3.29420	3.29617	3.29411	3.29604
2016/08/31 05:45:00	3.29587	3.29729	3.29513	3.29571	3.29480	3.29626	3.29394	3.29420
2016/08/31 05:30:00	3.29555	3.29672	3.29404	3.29587	3.29417	3.29557	3.29297	3.29480
2016/08/31 05:15:00	3.29575	3.29624	3.29418	3.29555	3.29469	3.29518	3.29300	3.29417
2016/08/31 05:00:00	3.29344	3.29575	3.29265	3.29575	3.29129	3.29469	3.29119	3.29469
2016/08/31 04:45:00	3.29422	3.29530	3.29290	3.29344	3.29320	3.29406	3.29095	3.29129
2016/08/31 04:30:00	3.29460	3.29500	3.29339	3.29422	3.29342	3.29401	3.29240	3.29320
